CODE,PRODUCT_ID,STOCK_POSITION,MANUFACTURER
P00001,20,55,Simonek
P00005,24,79,Simonek
P00006,25,70,Simonek
P00008,27,87,Simonek
P00009,28,78,Simonek
P00016,38,,
P00018,40,,
P00019,41,,
P00020,42,,
P00021,43,8-F-FEFL-AMA-22,Phocealys
P00024,46,,
P00031,53,,
P00033,55,57,Simonek
P00034,56,61,Simonek
P00036,58,,
P00037,59,,
P00042,64,,
P00043,65,,
P00044,66,,
P00047,71,,Secondflor
P00048,72,,
P00049,73,,
P00050,74,,
P00053,77,,
P00054,78,66,Simonek
P00056,80,,
P00057,81,,
P00058,82,,
P00059,83,,
P00060,84,,
P00061,85,,
P00064,88,56,Simonek
P00065,89,51,Simonek
P00066,90,54,
P00067,91,26-F-FEFL-AMA-09,Phocealys
P00068,92,26-MOU-MOU-PROCV-01,Phocealys
P00069,93,May green,Polarmoss
P00072,96,26-MOU-MOU-MOBCV-01,Phocealys
P00073,97,,
P00075,99,Apple green,Polarmoss
P00076,100,Leaf green,Polarmoss
P00077,101,,Secondflor
P00078,102,,
P00079,103,,
P00080,104,,
P00083,107,,
P00085,109,81,Simonek
P00086,110,,
P00088,112,,
P00093,117,13-FE-FOU-FEL-01,Phocealys
P00095,120,,
P00096,121,26-MOU-MOU-MOBCV-04,Phocealys
P00101,127,26-F-FEFL-AMA-01+ 8-F-FEFL-AMA-01,Phocealys
P00104,130,,
P00105,131,,
P00109,137,,
P00110,138,74,Simonek
P00111,139,52,Simonek
P00112,140,83,Simonek
P00113,141,62,Simonek
P00115,143,8-F-FEFL-BOT-67,Phocealys
P00116,144,,
P00118,146,,
P00121,149,,
P00122,150,,
P00124,152,8-F-FEFL-AMA-02,Phocealys
P00128,158,,
P00129,159,,
P00130,160,,
P00131,161,,
P00132,162,,
P00133,163,,
P00135,165,8-F-FEFL-AMA-10,Phocealys
P00137,167,26-F-FEFL-AMA-17,Phocealys
P00139,169,8-F-FEFL-AMA-13,Phocealys
P00140,170,26-F-FEFL-AMA-90,Phocealys
P00147,178,8-F-FEFL-BOT-01,Phocealys
P00148,179,8-F-FEFL-CRASES-08,
P00149,180,,
P00150,181,,
P00151,182,8-FE-AF-BAR-01,Phocealys
P00152,183,,
P00154,185,,
P00156,187,,
P00159,190,Dark green,Polarmoss
P00160,191,Lime green,Polarmoss
P00161,192,Natural,Polarmoss
P00162,193,,
P00163,195,,
P00164,196,,
P00165,197,8-F-FEFL-BOT-20,Phocealys
P00166,198,8-F-FEFL-BRO-11,Phocealys
P00169,201,20-SEC-FE-STI-11+ 20-SEC-FE-STI-08,Phocealys
P00172,205,,
P00173,206,,
P00174,207,,
P00175,208,,Secondflor
P00176,209,8-F-FEFL-BOT-13,Phocealys
P00178,211,,
P00180,213,,
P00181,214,,
P00186,219,,
P00187,220,,
P00190,224,20-SEC-FL-PHA-15,
P00192,226,8-F-FEFL-BOT-02,Phocealys
P00194,228,,
P00196,230,,
P00197,231,8-FE-FOU-BRA-01,Phocealys
P00198,232,,Secondflor
P00203,237,,
P00206,240,8-8-F-FEFL-BOT-09,Phocealys
P00207,241,,
P00209,243,31-FE-FOU-DAV-01,Phocealys
P00210,245,,
P00212,247,,
P00213,248,,
P00215,250,,
P00216,251,,
P00217,252,,
P00222,257,,
P00225,260,8-F-FEFL-BRO-11,Phocealys
P00226,261,,
P00227,262,,
P00230,267,,
P00233,271,,
P00235,274,,
P00237,276,,
P00238,277,,
P00239,278,60,Simonek
P00240,279,,
P00241,280,,
P00243,282,,
P00246,285,,
P00247,286,,
P00249,288,,
P00251,290,,
P00252,291,,
P00253,293,CP3-MOH42-WB,Secondflor
P00254,294,,
P00256,296,,
P00258,301,,
P00259,302,,
P00261,304,35-F-FEFL-DIOS-09,
P00266,309,,
P00268,311,,
P00269,312,,
P00271,314,,
P00272,315,,
P00274,317,05-MOU-MOU-MP-01,Phocealys
P00275,318,,
P00276,319,,
P00277,320,,
P00278,321,26-F-FEFL-AMA-02,Phocealys
P00280,323,,
P00282,325,,
P00283,326,31-F-FEFL-DIOS-08,
P00285,328,77,Simonek
P00286,329,,
P00289,332,65,Simonek
P00290,333,,
P00291,334,,
P00294,337,,Secondflor
P00295,338,,Secondflor
P00296,339,8-SEC-FL-BELLCUP-57 + 9-SEC-FL-BELLCUP-57,Phocealys
P00297,340,SEC-FL-AV-08 + 12-SEC-FL-AVCULIT-08,Phocealys
P00298,341,,
P00300,343,,
P00303,346,,
P00304,347,,
P00306,349,,
P00308,351,,
P00309,352,26-F-FEFL-AMABOU-02 + 26-F-FEFL-AMABOU-04,Phocealys
P00310,353,26-F-FEFL-AMABOU-01,Phocealys
P00311,354,8-SEC-FL-LIN-57,
P00316,359,,
P00317,360,,
P00319,362,67,Simonek
P00320,363,26-MOU-MOU-MOBL-01,Phocealys
P00323,366,,
P00327,370,,
P00328,371,26-F-FEFL-AMA-13,Phocealys
P00329,372,5-MOU-MOU-MIN-25,Phocealys
P00330,373,,
P00331,374,,
P00335,378,,
P00336,379,,
P00337,380,5-MOU-MOU-MIN-01,Phocealys
P00338,381,,
P00339,382,,
P00341,384,,
P00342,385,,
P00345,389,,
P00346,390,,
P00347,391,,Secondflor
P00348,392,,Secondflor
P00349,393,29-F-FEFL-PLUM-20,Phocealys
P00350,394,,
P00351,395,SF-FLERD-G,
P00352,396,29-SEC-FL-AVOI-86,
P00353,397,12-SEC-FL-LIN-85,
P00355,399,8-SEC-FE-TATA-09,
P00356,400,,
P00357,401,31-F-HOR-HORGR-15,Phocealys
P00358,402,30-F-HOR-HORPAN-11,Phocealys
P00359,403,,
P00360,404,,
P00361,405,,
P00362,406,08-F-HOR-HORTWR-11,Phocealys
P00363,408,,
P00364,409,,
P00365,410,,Secondflor
P00366,411,,
P00368,413,,
P00369,414,,
P00370,415,,
P00372,417,,
P00373,418,,
P00374,419,,
P00376,421,,
P00377,422,,
P00378,423,8-SEC-FL-GLI-17,Phocealys
P00380,425,29-SEC-FL-PAV-08,Phocealys
P00381,426,,Russo
P00382,427,,Russo
P00383,428,,Russo
P00384,429,,Russo
P00385,431,,
P00386,432,,